Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787817657972,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.64239501953125,0,0,0,40531.42443847656,29771.31280517578,0,34088599552,2147483648,7524323328,0
199,1787817657973,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,0,2.9853744506835938,0.399383544921875,100,3.8140869140625,3.7841339111328125,3.8041000366210938,3.8041000366210938,100,4.063697814941406,100,0,0.084869384765625,0,0,0,98.43242645263672,99.24617004394531,0.15975189208984375,0,40531.444885253906,29771.31280517578,0,34088599552,2147483648,7526854656,0
200,1787817658172,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,13.964126586914063,1.1955108642578125,39.78927993774414,0.20442962646484375,3.51507568359375,0.213409423828125,0.2908782958984375,0.20844268798828125,0.5821075439453125,1.634613037109375,0.284759521484375,4.127876281738281,13.832298278808594,0.21791839599609375,1.0032577514648438,0.3267822265625,0.1608123779296875,33.72167205810547,32.07122039794922,0.157501220703125,0,40542.11779785156,29779.803161621094,0,34088599552,2147483648,7563915264,0
200,1787817658373,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,54.287811279296875,0.14984893798828125,70.76260375976563,0.10166168212890625,0.1701507568359375,0.1802215576171875,0.1168212890625,0.167755126953125,0.2487640380859375,0.25829315185546875,0.3636932373046875,0.3939208984375,2.3084030151367188,0.186309814453125,0.6521148681640625,0.20381927490234375,0.10221099853515625,48.08913040161133,54.56640625,0.087646484375,0,40553.542053222656,29789.030151367188,0,34088599552,2147483648,7615266816,0
200,1787817658573,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,57.52939987182617,0.290313720703125,71.21726989746094,0.28163909912109375,0.45035552978515625,0.4903106689453125,0.38013458251953125,0.32163238525390625,0.568756103515625,0.39609527587890625,0.476593017578125,3.1050796508789063,43.798336029052734,0.29689788818359375,10.6759033203125,0.348968505859375,0.2678680419921875,45.58680725097656,47.91291427612305,0.28238677978515625,0,40566.170166015625,29799.41180419922,0,34088599552,2147483648,7656669184,0
199,1787817658774,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,49.19020080566406,2.75909423828125,66.73785400390625,2.7279815673828125,0.29531097412109375,0.34600830078125,0.28287506103515625,0.28907012939453125,0.2975616455078125,0.26769256591796875,0.2737884521484375,0.810028076171875,52.24386215209961,0.19303131103515625,32.331512451171875,1.0272293090820313,0.18524169921875,58.88212585449219,60.061378479003906,0.17934417724609375,0,40577.943786621094,29808.99542236328,0,34088599552,2147483648,7695806464,0
200,1787817658974,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,52.76866149902344,0.3911895751953125,51.511322021484375,0.4326019287109375,13.060676574707031,3.3838729858398438,2.9874343872070313,2.98883056640625,5.629325866699219,0.4936370849609375,3.0488662719726563,15.919143676757813,50.08551025390625,2.9341888427734375,44.9323844909668,2.0489120483398438,2.9676513671875,54.42368698120117,60.87980270385742,2.9452743530273438,0,40593.46209716797,29822.218627929688,0,34088599552,2147483648,7743807488,0
201,1787817659174,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,9.110504150390625,0.8205032348632813,25.51830291748047,0.3615264892578125,3.9051666259765625,0.37224578857421875,0.31908416748046875,0.37847900390625,0.8613510131835938,2.8520050048828125,0.3518524169921875,1.7301788330078125,7.402069091796875,0.3888092041015625,5.273811340332031,0.37837982177734375,0.3282623291015625,30.133346557617188,28.982688903808594,0.34023284912109375,0,40601.404235839844,29828.005920410156,0,34088599552,2147483648,7744483328,0
199,1787817659376,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.3983001708984375,0.9530868530273438,11.649139404296875,0,0.00701141357421875,0,0,0,0,0,0,0,0.164093017578125,0.1200408935546875,0.141082763671875,0.123748779296875,0.10527801513671875,26.985008239746094,15.248466491699219,0,0,40609.82922363281,29834.36785888672,0,34088599552,2147483648,7744888832,0
200,1787817659576,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,21.32622528076172,0.7414398193359375,16.85986328125,0.24558258056640625,0.4555511474609375,0.35802459716796875,0.34618377685546875,0.4101104736328125,0.194305419921875,0.27062225341796875,0.2232208251953125,0.21258544921875,11.074737548828125,0.235809326171875,0.3006439208984375,0.25208282470703125,0.210723876953125,33.63428497314453,26.48516845703125,0.2246246337890625,0,40618.69219970703,29840.976135253906,0,34088599552,2147483648,7745896448,0
200,1787817659777,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.8918304443359375,3.6005783081054688,14.02459716796875,2.779296875,0.49507904052734375,0.3699951171875,0.3712921142578125,0.42844390869140625,0.28791046142578125,0.33638763427734375,0.23679351806640625,0.34665679931640625,0.34740447998046875,0.28995513916015625,2.8262252807617188,0.2935943603515625,0.27239990234375,22.62908935546875,15.321052551269531,0.268310546875,0,40626.38446044922,29846.482666015625,0,34088599552,2147483648,7745884160,0
200,1787817659977,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,10.023963928222656,1.1041946411132813,8.227447509765625,0.3404388427734375,3.4174346923828125,2.9085464477539063,2.9101943969726563,2.9426651000976563,2.8945083618164063,0.33724212646484375,2.97393798828125,2.9143447875976563,2.9643478393554688,2.8897628784179688,0.4190673828125,2.8833694458007813,2.8557968139648438,19.090049743652344,19.84990692138672,2.8367156982421875,0,40635.447021484375,29853.42413330078,0,34088599552,2147483648,7745662976,0
200,1787817660177,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.3047256469726563,1.4328155517578125,9.320182800292969,0.249114990234375,2.7473373413085938,0.2687225341796875,0.28143310546875,0.2332611083984375,0.2669219970703125,2.7837982177734375,0.28951263427734375,0.3783416748046875,0.275848388671875,0.2912139892578125,0.39275360107421875,0.37918853759765625,0.23615264892578125,33.159027099609375,22.231414794921875,0.23246002197265625,0,40643.058654785156,29858.866577148438,0,34088599552,2147483648,7749910528,0
200,1787817660378,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,9.286331176757813,1.1019363403320313,14.658401489257813,0.20223236083984375,0.215850830078125,0.14702606201171875,0.17809295654296875,0.27729034423828125,0.170318603515625,0.2467193603515625,0.27813720703125,0.2994384765625,1.0082778930664063,0.233856201171875,0.33748626708984375,0.3273162841796875,0.1631317138671875,14.471382141113281,26.611968994140625,0.19345855712890625,0,40651.28723144531,29865.131896972656,0,34088599552,2147483648,7749173248,0
200,1787817660578,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,6.685295104980469,1.111175537109375,13.354576110839844,0.32350921630859375,0.43068695068359375,0.38220977783203125,0.326507568359375,0.48504638671875,0.44220733642578125,0.351593017578125,0.334686279296875,0.41921234130859375,0.560699462890625,0.3631591796875,0.42479705810546875,0.41283416748046875,0.4213104248046875,0.4290924072265625,20.172271728515625,0.236236572265625,0,40660.11590576172,29871.758422851563,0,34088599552,2147483648,7750246400,0
200,1787817660779,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,7.8212432861328125,3.7058258056640625,18.13243865966797,0.25878143310546875,0.3488006591796875,0.34461212158203125,0.41613006591796875,0.468994140625,0.469940185546875,0.4691925048828125,0.37229156494140625,0.47318267822265625,1.8170318603515625,0.3649139404296875,3.1437225341796875,0.36450958251953125,0.3852081298828125,0.3925933837890625,30.38170623779297,0.19944000244140625,0,40668.807067871094,29878.123474121094,0,34088599552,2147483648,7750815744,0
200,1787817660979,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,9.951431274414063,0.6758804321289063,13.401237487792969,2.7968826293945313,0.3703460693359375,2.827667236328125,2.9374465942382813,0.3974456787109375,2.9148941040039063,0.342010498046875,2.84259033203125,2.8879928588867188,8.208511352539063,2.8409881591796875,0.964447021484375,2.874176025390625,2.8988723754882813,2.94158935546875,20.46666717529297,2.7555160522460938,0,40677.60693359375,29884.825805664063,0,34088599552,2147483648,7752085504,0
200,1787817661180,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,15.449928283691406,0.580322265625,15.711708068847656,0.25286102294921875,3.2746734619140625,0.3739013671875,0.3891143798828125,2.7644729614257813,0.40472412109375,2.90850830078125,0.387115478515625,0.32836151123046875,10.028709411621094,0.2546539306640625,2.8259658813476563,0.26751708984375,4.012748718261719,0.42137908935546875,22.924026489257813,0.2303619384765625,0,40685.45153808594,29890.500732421875,0,34088599552,2147483648,7748608000,0
199,1787817661380,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,4.3097381591796875,0.8665084838867188,16.397682189941406,0.28891754150390625,0.39923858642578125,0.4646759033203125,0.46576690673828125,0.36936187744140625,0.4732513427734375,0.46746826171875,0.3354034423828125,0.35125732421875,1.5833892822265625,0.26383209228515625,0.32921600341796875,0.28797149658203125,0.341033935546875,0.31659698486328125,20.326980590820313,0.26084136962890625,0,40692.91394042969,29895.80438232422,0,34088599552,2147483648,7748517888,0
200,1787817661580,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,6.407745361328125,0.74456787109375,13.737098693847656,0.23317718505859375,0.2354278564453125,0.33271026611328125,0.327362060546875,0.29996490478515625,0.4434051513671875,0.4315032958984375,0.3284149169921875,0.34621429443359375,16.82225799560547,0.28507232666015625,0.4602508544921875,0.27172088623046875,0.3237152099609375,0.30587005615234375,20.04590606689453,0.20892333984375,0,40700.477783203125,29901.240661621094,0,34088599552,2147483648,7747686400,0
200,1787817661781,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,4.869956970214844,0.9857406616210938,13.465927124023438,0.34058380126953125,0.42706298828125,0.2994384765625,0.23615264892578125,0.26038360595703125,0.6725387573242188,0.4820709228515625,0.35320281982421875,0.3531494140625,4.372169494628906,0.36142730712890625,4.9181365966796875,0.31270599365234375,1.6135406494140625,0.33190155029296875,20.30786895751953,0.29285430908203125,0,40708.39782714844,29907.010192871094,0,34088599552,2147483648,7745921024,0
200,1787817661981,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,7.269630432128906,2.8685989379882813,10.827468872070313,2.8187942504882813,0.3034515380859375,2.9258880615234375,2.8023757934570313,0.27181243896484375,3.0180511474609375,0.4671783447265625,2.9776840209960938,0.3835906982421875,3.926116943359375,2.8617630004882813,0.46727752685546875,2.8166046142578125,2.9431991577148438,2.8298263549804688,18.757095336914063,2.754425048828125,0,40715.860412597656,29912.34698486328,0,34088599552,2147483648,7746596864,0
200,1787817662182,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1.4196243286132813,0.59039306640625,14.117660522460938,0.24771881103515625,2.9637832641601563,0.43663787841796875,0.348663330078125,2.9134140014648438,0.253753662109375,2.758209228515625,0.25754547119140625,2.7854385375976563,0.292999267578125,0.31923675537109375,0.2904052734375,0.27489471435546875,0.2905120849609375,0.26926422119140625,18.056503295898438,0.22751617431640625,0,40723.101989746094,29917.448303222656,0,34088599552,2147483648,7747977216,0
