Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787762657483,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,0,0,0,0,0,0,78.69566345214844,4.556358337402344,60.20149230957031,0,0,0,19.519554138183594,0,0,0,0,0,0,0,197076.46447753906,78494.53424072266,0,34088599552,2147483648,8023416832,0
199,1787762657484,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,197076.4959716797,78494.8355102539,0,34088599552,2147483648,8023437312,0
200,1787762657684,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1.41156005859375,0.983367919921875,2.6573028564453125,0.8957672119140625,0.9132003784179688,0.8506240844726563,0.8541946411132813,6.193580627441406,6.006103515625,0.9318695068359375,3.4273223876953125,0.8818588256835938,3.3695144653320313,45.59770202636719,52.046897888183594,3.3384780883789063,38.81357955932617,0.8723220825195313,19.025779724121094,3.3716506958007813,0,197087.01373291016,78503.50390625,0,34088599552,2147483648,8070934528,0
199,1787762657884,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.43419647216796875,2.6214599609375,22.716171264648438,0.00923919677734375,0.0175323486328125,0.0588836669921875,0.0224761962890625,0.01563262939453125,0.06208038330078125,0.086700439453125,0.01818084716796875,0,0.00249481201171875,55.46895980834961,55.85736083984375,0,58.734375,2.1200942993164063,52.172481536865234,0,0,197099.9688720703,78513.55499267578,0,34088599552,2147483648,8117665792,0
200,1787762658084,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,15.598731994628906,0.6110763549804688,52.1622428894043,0.5672988891601563,0.68792724609375,3.220367431640625,0.6326065063476563,3.87396240234375,0.6745376586914063,0.6668853759765625,0.6344070434570313,3.1044845581054688,0.5291748046875,52.670780181884766,56.0362548828125,0.5399703979492188,61.48319625854492,0.8125991821289063,50.04434585571289,0.557708740234375,0,197113.3579711914,78524.71716308594,0,34088599552,2147483648,8149606400,0
199,1787762658285,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,27.624298095703125,0.1903228759765625,38.69455337524414,0.179840087890625,0.2792205810546875,0.24308013916015625,2.778656005859375,3.171630859375,0.20499420166015625,0.190673828125,0.19670867919921875,0.1922149658203125,0.11699676513671875,52.136863708496094,58.01607131958008,0.12413787841796875,54.880828857421875,0.125579833984375,55.31757736206055,0.13187408447265625,0,197127.86627197266,78536.9848022461,0,34088599552,2147483648,8185495552,0
200,1787762658485,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,34.97123718261719,0.33242034912109375,35.4930419921875,2.8753509521484375,3.660736083984375,0.38507080078125,0.37842559814453125,14.462142944335938,4.84942626953125,0.36199188232421875,0.3771820068359375,0.3883209228515625,0.306488037109375,49.462806701660156,44.32238006591797,0.3360137939453125,53.073585510253906,0.33850860595703125,56.16590118408203,0.3433074951171875,0,197141.49871826172,78548.34619140625,0,34088599552,2147483648,8234967040,0
200,1787762658685,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.6031875610351563,1.1938095092773438,0.26226806640625,0.289398193359375,0.2512969970703125,0.264312744140625,0.227508544921875,0.22332000732421875,0.4456939697265625,2.8029937744140625,2.7941665649414063,0.21070098876953125,2.6829071044921875,14.583267211914063,8.824066162109375,2.7950668334960938,8.430885314941406,0.2544403076171875,0.38330841064453125,2.7915802001953125,0,197149.69171142578,78554.38513183594,0,34088599552,2147483648,8243802112,0
199,1787762658886,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.8235397338867188,3.3095321655273438,11.549453735351563,0.326995849609375,0.32001495361328125,0.31038665771484375,0.280364990234375,0.36823272705078125,2.6857147216796875,0.2774200439453125,0.33327484130859375,0.3612060546875,0.2652587890625,12.450538635253906,8.326942443847656,0.30669403076171875,11.399093627929688,0.36962890625,5.340660095214844,0.35427093505859375,0,197156.3787841797,78558.9115600586,0,34088599552,2147483648,8240009216,0
200,1787762659086,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.6882553100585938,0.8036270141601563,5.739219665527344,0.3563232421875,0.31278228759765625,2.8129501342773438,0.31208038330078125,1.5864105224609375,0.25159454345703125,0.29138946533203125,0.33052825927734375,2.8512420654296875,0.2764434814453125,16.18993377685547,16.62493896484375,0.2889862060546875,13.319252014160156,2.8413925170898438,3.789642333984375,0.302337646484375,0,197163.34826660156,78563.70538330078,0,34088599552,2147483648,8245616640,0
200,1787762659286,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.3389892578125,0.8847579956054688,0.6958389282226563,0.35839080810546875,0.33499908447265625,0.35649871826171875,2.8260879516601563,3.0449371337890625,0.32248687744140625,0.23974609375,0.2577972412109375,0.251708984375,0.21854400634765625,23.799911499023438,10.965126037597656,0.23415374755859375,7.52020263671875,0.312957763671875,4.222251892089844,0.40283203125,0,197173.3035888672,78571.48834228516,0,34088599552,2147483648,8243982336,0
200,1787762659487,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,2.9847030639648438,0.6946563720703125,2.7945938110351563,2.89825439453125,2.9068374633789063,0.41265106201171875,0.422332763671875,1.0799713134765625,1.1330032348632813,0.28739166259765625,0.23236846923828125,0.25970458984375,0.2256317138671875,23.24310302734375,12.940628051757813,0.2174530029296875,10.701713562011719,0.2402496337890625,2.6208419799804688,0.32390594482421875,0,197181.40167236328,78577.41027832031,0,34088599552,2147483648,8250241024,0
199,1787762659687,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1.139984130859375,0.5204696655273438,1.1786880493164063,0.27080535888671875,0.4823150634765625,0.4691009521484375,0.4958343505859375,0.47139739990234375,0.25000762939453125,2.767120361328125,2.8041229248046875,0.25664520263671875,2.7692184448242188,21.257461547851563,21.066200256347656,2.7400894165039063,13.240425109863281,0.26097869873046875,6.2707061767578125,2.4061431884765625,0,197190.28442382813,78584.08819580078,0,34088599552,2147483648,8250130432,0
200,1787762659887,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1.9210433959960938,2.8313674926757813,6.571113586425781,0.2657623291015625,0.41649627685546875,0.410491943359375,0.44309234619140625,0.5919189453125,2.936553955078125,0.21732330322265625,0.2163238525390625,0.2695159912109375,0.2796630859375,18.752471923828125,15.048721313476563,0.26930999755859375,13.580917358398438,0.226165771484375,3.6172103881835938,0.6326675415039063,0,197197.314453125,78588.9390258789,0,34088599552,2147483648,8254570496,0
200,1787762660088,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.7889022827148438,0.497955322265625,4.350502014160156,0.36669921875,0.33333587646484375,2.8477554321289063,0.33966827392578125,0.5440902709960938,0.34824371337890625,0.337127685546875,0.296630859375,2.8479080200195313,0.33612823486328125,14.783317565917969,13.596694946289063,0.29224395751953125,9.285240173339844,2.876434326171875,11.119026184082031,0.34285736083984375,0,197204.5753173828,78594.06121826172,0,34088599552,2147483648,8253976576,0
200,1787762660288,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,4.706085205078125,0.722442626953125,1.996063232421875,0.243621826171875,0.21269989013671875,0.28256988525390625,2.7795486450195313,2.7752609252929688,0.26526641845703125,0.24337005615234375,0.33528900146484375,0.19115447998046875,0.190460205078125,17.36920166015625,15.073959350585938,0.1932525634765625,11.677696228027344,0.2906494140625,1.41595458984375,0.33359527587890625,0,197211.97912597656,78599.29107666016,0,34088599552,2147483648,8254091264,0
200,1787762660489,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1.5326690673828125,0.6985549926757813,4.06549072265625,2.82000732421875,0.43671417236328125,0.32205963134765625,0.3214111328125,2.8765335083007813,0.3282928466796875,0.2592926025390625,0.31078338623046875,0.24268341064453125,0.28823089599609375,19.73845672607422,12.486495971679688,0.26253509521484375,11.095474243164063,0.3787384033203125,7.13995361328125,0.3056488037109375,0,197221.67041015625,78606.80810546875,0,34088599552,2147483648,8254324736,0
200,1787762660689,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.6804275512695313,0.930694580078125,0.6147918701171875,0.33929443359375,2.699371337890625,0.41629791259765625,0.3439788818359375,0.32028961181640625,0.272857666015625,2.825897216796875,2.8954238891601563,0.29221343994140625,2.7955245971679688,13.882865905761719,9.057273864746094,2.8127288818359375,9.509780883789063,0.29964447021484375,1.9840774536132813,0.343780517578125,0,197229.68438720703,78612.654296875,0,34088599552,2147483648,8258326528,0
