Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787691085903,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,92.3358383178711,0,0,44.754852294921875,0,0,0,0,228547.3829345703,181322.46673583984,0,34088599552,2147483648,8340484096,0
199,1787691085903,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,70.53298950195313,75.06868743896484,69.64883422851563,69.61886596679688,69.33413696289063,69.21923828125,69.33413696289063,69.40406799316406,69.82865905761719,69.34912109375,69.2092514038086,69.31414794921875,70.7927474975586,100,72.40121459960938,70.62290954589844,70.2232894897461,70.29322052001953,70.37814331054688,69.21923828125,0,228547.38836669922,181322.46673583984,0,34088599552,2147483648,8340504576,0
200,1787691086103,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.6371688842773438,2.2668075561523438,0.4327392578125,0.4341888427734375,0.24309539794921875,2.8363800048828125,2.8446731567382813,4.910552978515625,0.5762710571289063,2.8699569702148438,0.348907470703125,0.2458953857421875,0.2471923828125,41.91557312011719,58.95735168457031,0.23465728759765625,38.36283493041992,0.21087646484375,24.760787963867188,0.2760162353515625,0,228557.49786376953,181330.33923339844,0,34088599552,2147483648,8384004096,0
200,1787691086304,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,13.653213500976563,0.929229736328125,62.49508285522461,0.2248077392578125,0.23992919921875,0.2456207275390625,0.36128997802734375,2.9584426879882813,0.4160308837890625,0.23668670654296875,0.39467620849609375,0.30914306640625,2.7577362060546875,46.33908462524414,51.04340362548828,0.199859619140625,43.944881439208984,0.21048736572265625,47.72117233276367,0.2039031982421875,0,228568.64178466797,181339.2628173828,0,34088599552,2147483648,8438009856,0
200,1787691086504,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,21.62061309814453,0.339447021484375,41.145538330078125,2.8097610473632813,2.8433456420898438,0.2848663330078125,0.3199920654296875,7.493011474609375,0.44318389892578125,0.36409759521484375,0.29669189453125,0.2610626220703125,0.25786590576171875,47.91714096069336,57.384986877441406,2.7525787353515625,47.51496887207031,0.2701416015625,50.65604782104492,2.768798828125,0,228580.93646240234,181349.29876708984,0,34088599552,2147483648,8472293376,0
200,1787691086705,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,48.453346252441406,0.267242431640625,69.1772689819336,0.23625946044921875,7.021018981933594,0.1748504638671875,0.24733734130859375,35.94007873535156,13.04864501953125,0.4609527587890625,0.21251678466796875,2.8001251220703125,0.23052215576171875,58.38239288330078,58.06237030029297,0.2335662841796875,48.220375061035156,2.7396163940429688,56.97883605957031,0.20139312744140625,0,228596.72106933594,181362.79821777344,0,34088599552,2147483648,8508153856,0
200,1787691086905,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,34.282814025878906,0.246734619140625,45.99089431762695,0.2491302490234375,1.0094146728515625,0.2308502197265625,0.16771697998046875,13.00079345703125,9.232353210449219,0.26251983642578125,2.7964401245117188,0.2582244873046875,0.23824310302734375,42.7919921875,45.74845504760742,0.2451324462890625,47.93375015258789,0.226806640625,43.692771911621094,0.21661376953125,0,228610.07775878906,181373.92059326172,0,34088599552,2147483648,8558870528,0
200,1787691087105,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.5969390869140625,1.8038864135742188,0.305999755859375,0.32859039306640625,0.32505035400390625,2.7464218139648438,2.7960433959960938,0.302459716796875,0.3656463623046875,2.9846954345703125,0.42269134521484375,0.466033935546875,0.322357177734375,7.8286285400390625,8.352264404296875,0.34429931640625,2.751953125,0.33751678466796875,1.0821685791015625,0.28116607666015625,0,228617.36474609375,181379.05712890625,0,34088599552,2147483648,8561664000,0
200,1787691087306,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.5701217651367188,3.7601776123046875,0.4185638427734375,0.385650634765625,0.393829345703125,0.41492462158203125,0.33562469482421875,2.870941162109375,0.3806610107421875,0.418609619140625,0.3986663818359375,0.44454193115234375,2.776885986328125,39.10563278198242,44.48720169067383,0.24900054931640625,2.4180679321289063,0.3081512451171875,0.3437042236328125,0.30246734619140625,0,228626.12084960938,181385.64837646484,0,34088599552,2147483648,8564436992,0
200,1787691087507,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,7.134925842285156,0.29772186279296875,5.903099060058594,2.9113311767578125,2.9064407348632813,0.42009735107421875,0.337066650390625,0.6435165405273438,0.4987945556640625,0.5293121337890625,0.473907470703125,0.48876953125,0.241119384765625,20.467079162597656,52.075443267822266,2.7232742309570313,19.300277709960938,0.24755096435546875,9.853958129882813,2.8504409790039063,0,228634.833984375,181392.19915771484,0,34088599552,2147483648,8561782784,0
