Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787759875694,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,0,0,0,1.2301406860351563,0,0,0,0,0,88.28269958496094,0,0,0,0,0,24.085777282714844,0,0,0,0,84179.24688720703,258154.23895263672,0,34088599552,2147483648,7633731584,0
199,1787759875694,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,84179.43438720703,258154.23895263672,0,34088599552,2147483648,7633764352,0
200,1787759875894,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,17.707626342773438,0.82977294921875,51.92034912109375,3.2550277709960938,4.778900146484375,0.8214492797851563,0.8095016479492188,3.3451766967773438,0.8431167602539063,3.3264541625976563,6.978340148925781,0.75909423828125,1.588714599609375,3.3376083374023438,0.9615097045898438,0.8043670654296875,42.18130874633789,0.748687744140625,36.90524673461914,0.7397689819335938,0,84189.556640625,258162.14416503906,0,34088599552,2147483648,7679004672,0
200,1787759876094,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,50.86589813232422,0.14820098876953125,70.09129333496094,0.0804443359375,0.17760467529296875,0.17096710205078125,0.16547393798828125,0.15059661865234375,2.7226943969726563,0.31377410888671875,0.7999114990234375,0.2011260986328125,12.432685852050781,0.19698333740234375,0.32625579833984375,0.23772430419921875,57.69410705566406,0.0792388916015625,50.460899353027344,0.06386566162109375,0,84202.62707519531,258172.9917602539,0,34088599552,2147483648,7722504192,0
200,1787759876295,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,50.14836502075195,0.32305145263671875,72.67701721191406,0.31980133056640625,0.40918731689453125,0.3702392578125,0.376983642578125,0.36135101318359375,0.5111160278320313,0.5820236206054688,3.1497802734375,0.5637969970703125,31.76305389404297,0.35381317138671875,2.5528717041015625,0.49243927001953125,59.942970275878906,0.3149566650390625,57.41307067871094,0.31945037841796875,0,84218.93762207031,258187.0747680664,0,34088599552,2147483648,7755812864,0
200,1787759876495,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,44.05958557128906,2.8061599731445313,72.76554870605469,0.28687286376953125,7.512123107910156,2.82159423828125,2.812652587890625,0.31053924560546875,0.325469970703125,0.31468963623046875,8.7491455078125,4.103355407714844,46.36580276489258,0.31453704833984375,37.64481735229492,2.849700927734375,51.427547454833984,2.8153457641601563,50.68242645263672,2.8289794921875,0,84235.85186767578,258201.75415039063,0,34088599552,2147483648,7793336320,0
200,1787759876695,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,42.220191955566406,0.23064422607421875,61.1695671081543,0.22914886474609375,6.787910461425781,0.47313690185546875,0.307647705078125,0.27117156982421875,0.24139404296875,0.2509307861328125,11.010971069335938,0.47023773193359375,39.29077911376953,0.25982666015625,34.923866271972656,0.28540802001953125,54.796329498291016,0.23973846435546875,54.11777877807617,0.24514007568359375,0,84251.37408447266,258215.03521728516,0,34088599552,2147483648,7855005696,0
200,1787759876895,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1.5474472045898438,0.19061279296875,13.177383422851563,2.8226852416992188,2.8251800537109375,0.2217864990234375,0.287811279296875,2.7240371704101563,0.19605255126953125,2.7841873168945313,0.5159835815429688,0.24976348876953125,0.7833480834960938,2.7827911376953125,17.304336547851563,0.2829742431640625,25.50189208984375,0.24407958984375,28.140304565429688,0.2483673095703125,0,84260.00366210938,258221.52178955078,0,34088599552,2147483648,7856496640,0
200,1787759877096,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,4.9566497802734375,0.24701690673828125,26.340576171875,0.227264404296875,0.3056182861328125,0.27489471435546875,0.2976837158203125,0.3035736083984375,2.8419723510742188,0.31114959716796875,0.7089309692382813,0.3251190185546875,4.93560791015625,0.2766876220703125,0.7746124267578125,0.39752960205078125,13.152862548828125,0.27349853515625,32.15718078613281,0.249359130859375,0,84267.6123046875,258226.97064208984,0,34088599552,2147483648,7857422336,0
200,1787759877296,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,5.4467620849609375,0.1699066162109375,18.597076416015625,0.31572723388671875,1.2319259643554688,3.0133209228515625,3.04119873046875,0.2606658935546875,0.28884124755859375,0.3470458984375,3.3550796508789063,0.9406890869140625,6.945587158203125,0.3104400634765625,1.8059310913085938,0.312286376953125,18.10436248779297,0.27393341064453125,34.761070251464844,0.22391510009765625,0,84277.16778564453,258234.37103271484,0,34088599552,2147483648,7860948992,0
200,1787759877497,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,8.314865112304688,2.7074737548828125,18.447959899902344,0.26122283935546875,0.39666748046875,2.9349288940429688,2.9635086059570313,0.33184051513671875,0.25713348388671875,0.2650146484375,0.355224609375,2.7576446533203125,25.489730834960938,0.282318115234375,5.251319885253906,2.8162918090820313,12.717033386230469,2.8135986328125,19.86846923828125,2.7565460205078125,0,84288.13854980469,258243.18377685547,0,34088599552,2147483648,7861469184,0
200,1787759877697,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,6.896171569824219,0.190093994140625,60.79895782470703,0.2174835205078125,0.2925262451171875,0.2893829345703125,0.28633880615234375,0.3372802734375,0.31073760986328125,0.24253082275390625,0.2669830322265625,0.32241058349609375,0.5365066528320313,0.309539794921875,0.33089447021484375,0.27007293701171875,16.641868591308594,0.2594451904296875,28.126914978027344,0.218780517578125,0,84297.03674316406,258249.94525146484,0,34088599552,2147483648,7861661696,0
200,1787759877898,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,7.469993591308594,0.23876953125,22.765396118164063,2.8719024658203125,2.795806884765625,0.24993896484375,0.23273468017578125,2.8103713989257813,0.22415924072265625,2.8351058959960938,0.552093505859375,0.31561279296875,4.011688232421875,2.8266754150390625,0.4537506103515625,0.29791259765625,24.84998321533203,0.234832763671875,39.56771469116211,0.17877960205078125,0,84307.04083251953,258257.78735351563,0,34088599552,2147483648,7864872960,0
200,1787759878098,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,5.749259948730469,0.19708251953125,10.180755615234375,0.28125762939453125,0.289337158203125,0.29761505126953125,0.25966644287109375,0.2601165771484375,1.14752197265625,0.2677459716796875,0.2793121337890625,0.28045654296875,4.8645477294921875,0.330474853515625,2.6239700317382813,0.27307891845703125,39.588924407958984,0.20555877685546875,46.321842193603516,0.23238372802734375,0,84315.21881103516,258263.80670166016,0,34088599552,2147483648,7865225216,0
200,1787759878299,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,9.324226379394531,0.15933990478515625,40.40267562866211,0.2205352783203125,0.4903411865234375,0.45658111572265625,0.39847564697265625,0.38211822509765625,1.9323883056640625,0.2677154541015625,2.9162139892578125,0.27170562744140625,1.560150146484375,0.4128875732421875,0.5894393920898438,0.31334686279296875,14.611259460449219,0.24886322021484375,38.71909713745117,0.22606658935546875,0,84324.59118652344,258271.0278930664,0,34088599552,2147483648,7866531840,0
200,1787759878499,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,12.56787109375,2.6844940185546875,35.78662109375,0.2354888916015625,0.471923828125,3.0055618286132813,2.9646148681640625,0.4210052490234375,0.29947662353515625,0.2276611328125,0.5149612426757813,2.7921142578125,7.70916748046875,0.36809539794921875,8.631027221679688,2.7692718505859375,26.143722534179688,2.7573013305664063,42.49807357788086,2.7500228881835938,0,84333.7984008789,258278.0731201172,0,34088599552,2147483648,7867580416,0
200,1787759878700,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,28.643714904785156,0.16617584228515625,36.698509216308594,0.2326507568359375,0.5849761962890625,0.5320358276367188,0.5817794799804688,0.5621490478515625,0.29998016357421875,0.2648162841796875,0.5151519775390625,0.3742523193359375,2.5489425659179688,0.3790435791015625,3.109649658203125,0.321258544921875,21.380332946777344,0.24713897705078125,42.08823013305664,0.2163238525390625,0,84343.75555419922,258285.86865234375,0,34088599552,2147483648,7870791680,0
200,1787759878900,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,16.660934448242188,0.16931915283203125,23.84259796142578,2.7059555053710938,2.9107742309570313,0.2738494873046875,0.37134552001953125,2.8725738525390625,0.22397613525390625,2.781463623046875,0.8401412963867188,0.233154296875,6.728324890136719,2.7590179443359375,18.61292266845703,0.2147979736328125,24.80413055419922,0.12906646728515625,26.258346557617188,0.2006378173828125,0,84352.9769897461,258292.9330444336,0,34088599552,2147483648,7875047424,0
200,1787759879101,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,12.716354370117188,0.25719451904296875,40.449928283691406,0.32007598876953125,0.3870391845703125,0.34969329833984375,0.31992340087890625,0.31827545166015625,0.47325897216796875,0.43625640869140625,0.47963714599609375,0.3267059326171875,16.32623291015625,0.34844970703125,13.812156677246094,0.34001922607421875,11.520133972167969,0.3369293212890625,25.986648559570313,0.29070281982421875,0,84363.65728759766,258301.5806274414,0,34088599552,2147483648,7875424256,0
199,1787759879301,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,4.2216644287109375,0.21759796142578125,47.06739807128906,0.235504150390625,0.23036956787109375,0.25290679931640625,0.27350616455078125,0.28592681884765625,2.8360671997070313,0.3044281005859375,2.8016586303710938,0.296600341796875,3.1406478881835938,0.293060302734375,0.329864501953125,0.29001617431640625,9.170585632324219,0.2061309814453125,49.96900177001953,0.1930084228515625,0,84372.84442138672,258308.6895751953,0,34088599552,2147483648,7877419008,0
200,1787759879501,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,18.087112426757813,2.6856307983398438,39.3677864074707,0.200469970703125,0.31250762939453125,2.889251708984375,2.7621688842773438,0.33625030517578125,0.314605712890625,0.28841400146484375,1.350067138671875,2.8748550415039063,8.776893615722656,0.27021026611328125,4.008049011230469,2.804412841796875,61.17403793334961,2.7367706298828125,67.0373306274414,2.71142578125,0,84384.60247802734,258318.76690673828,0,34088599552,2147483648,7881461760,0
200,1787759879702,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,8.446144104003906,0.26284027099609375,48.30012130737305,0.20394134521484375,0.31795501708984375,0.28289031982421875,0.35750579833984375,0.25835418701171875,0.22638702392578125,0.3197479248046875,0.35272216796875,0.36623382568359375,4.2998046875,0.31371307373046875,6.323699951171875,0.28917694091796875,25.034103393554688,0.189178466796875,47.99533462524414,0.18633270263671875,0,84395.42120361328,258326.70568847656,0,34088599552,2147483648,7882141696,0
200,1787759879902,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,7.483390808105469,0.16822052001953125,29.376785278320313,2.7483673095703125,3.0221710205078125,0.260040283203125,0.2721099853515625,2.79290771484375,0.21071624755859375,2.8483123779296875,1.6872634887695313,0.27679443359375,1.2715682983398438,2.7678680419921875,0.35190582275390625,0.2641754150390625,45.460479736328125,0.15775299072265625,42.743282318115234,0.214202880859375,0,84405.52197265625,258334.65625,0,34088599552,2147483648,7883952128,0
200,1787759880103,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,9.413307189941406,0.2241668701171875,49.9481086730957,0.23089599609375,1.3046493530273438,0.34879302978515625,0.3881378173828125,0.321014404296875,0.29383087158203125,0.3479461669921875,4.0889892578125,4.7128143310546875,19.658592224121094,0.29901885986328125,0.9050369262695313,0.407684326171875,12.774887084960938,0.26401519775390625,48.147804260253906,0.2237701416015625,0,84416.4663696289,258343.37786865234,0,34088599552,2147483648,7887884288,0
200,1787759880303,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.5684356689453125,0.22896575927734375,33.832664489746094,0.2481231689453125,0.3115081787109375,0.33225250244140625,0.383026123046875,0.395050048828125,2.7719573974609375,0.30413055419921875,2.8110122680664063,0.274749755859375,0.7197723388671875,0.29250335693359375,0.5479583740234375,0.397491455078125,8.96966552734375,0.252960205078125,49.649139404296875,0.19235992431640625,0,84425.5894165039,258350.36688232422,0,34088599552,2147483648,7894257664,0
199,1787759880504,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,10.780502319335938,2.703643798828125,16.98358154296875,0.26522064208984375,0.3837127685546875,2.965118408203125,3.01678466796875,0.4706878662109375,0.29259490966796875,0.2540435791015625,0.69122314453125,2.837646484375,1.17572021484375,0.2885589599609375,2.91424560546875,2.9078140258789063,39.964630126953125,2.782135009765625,52.42884826660156,2.7204513549804688,0,84436.75183105469,258359.36895751953,0,34088599552,2147483648,7895023616,0
200,1787759880704,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,15.125953674316406,0.14167022705078125,40.95444869995117,0.20336151123046875,0.47121429443359375,0.43537139892578125,0.45196533203125,0.3911285400390625,0.3051910400390625,0.31329345703125,0.347686767578125,0.37747955322265625,9.464118957519531,0.26149749755859375,0.39722442626953125,0.35163116455078125,23.704795837402344,0.2152557373046875,34.115936279296875,0.16961669921875,0,84445.89599609375,258366.3631591797,0,34088599552,2147483648,7900540928,0
200,1787759880904,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,21.16791534423828,0.21379852294921875,26.545684814453125,2.8129196166992188,2.9119644165039063,0.4739837646484375,0.36505889892578125,2.9413375854492188,0.32671356201171875,2.9722061157226563,0.7462844848632813,0.44475555419921875,3.5519180297851563,2.9268722534179688,0.5445022583007813,0.5142745971679688,16.750823974609375,0.328857421875,24.41820526123047,0.2906036376953125,0,84455.57800292969,258373.9105834961,0,34088599552,2147483648,7901315072,0
200,1787759881105,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,24.33838653564453,0.18981170654296875,36.59134292602539,0.20377349853515625,0.4153289794921875,0.435333251953125,0.39572906494140625,0.5122833251953125,0.452484130859375,0.3692474365234375,0.6549148559570313,0.364013671875,3.4573593139648438,0.4533843994140625,0.8148040771484375,0.52789306640625,19.068084716796875,0.24816131591796875,61.975791931152344,0.196197509765625,0,84464.25848388672,258380.4112548828,0,34088599552,2147483648,7889010688,0
200,1787759881305,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,2.64453125,0.25524139404296875,72.06623840332031,0.184722900390625,0.39104461669921875,0.3872528076171875,0.5202560424804688,0.5304336547851563,2.890350341796875,0.23384857177734375,2.8057174682617188,0.3462066650390625,0.41727447509765625,0.3564300537109375,0.435577392578125,0.43886566162109375,14.301193237304688,0.22527313232421875,23.218467712402344,0.17070770263671875,0,84473.55163574219,258387.57537841797,0,34088599552,2147483648,7889133568,0
200,1787759881506,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.9263534545898438,2.6942825317382813,8.887527465820313,0.23723602294921875,0.32999420166015625,2.8774642944335938,2.9826431274414063,0.34964752197265625,0.3164825439453125,0.2912445068359375,0.21030426025390625,2.848785400390625,5.300048828125,0.4008636474609375,2.9646835327148438,2.936309814453125,9.522636413574219,2.7909317016601563,53.560794830322266,2.71612548828125,0,84481.71752929688,258393.595703125,0,34088599552,2147483648,7889432576,0
200,1787759881706,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.7119216918945313,0.19176483154296875,18.25780487060547,0.25400543212890625,0.29376983642578125,0.23772430419921875,0.27114105224609375,0.24980926513671875,0.2718353271484375,0.38707733154296875,0.42139434814453125,0.295562744140625,0.737091064453125,0.37519073486328125,0.4583587646484375,0.33762359619140625,43.37261199951172,0.14736175537109375,55.24097442626953,0.18302154541015625,0,84490.99169921875,258400.70001220703,0,34088599552,2147483648,7890354176,0
200,1787759881907,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,4.181877136230469,0.21953582763671875,60.361446380615234,2.7921218872070313,2.8049392700195313,0.28900909423828125,0.33469390869140625,1.7161178588867188,0.39244842529296875,3.032958984375,1.0234375,0.4572296142578125,4.1948394775390625,2.8778533935546875,3.4190216064453125,0.327117919921875,31.254409790039063,0.2344512939453125,25.677444458007813,0.27823638916015625,0,84499.72607421875,258407.30926513672,0,34088599552,2147483648,7890485248,0
200,1787759882107,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,18.80908203125,0.15041351318359375,46.020259857177734,0.19480133056640625,0.2863616943359375,0.2528533935546875,0.29613494873046875,1.394012451171875,0.3218231201171875,0.330047607421875,1.297515869140625,0.38720703125,14.520759582519531,0.29369354248046875,1.2173233032226563,0.29683685302734375,9.838302612304688,0.23628997802734375,36.21242904663086,0.230804443359375,0,84508.72192382813,258414.14611816406,0,34088599552,2147483648,7891156992,0
200,1787759882308,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,6.130821228027344,0.19799041748046875,29.222824096679688,0.2512969970703125,0.32122039794921875,0.290496826171875,0.3296966552734375,0.30770111083984375,2.8202972412109375,0.2657623291015625,2.8851776123046875,0.29468536376953125,5.061195373535156,0.30770111083984375,0.30286407470703125,0.29283905029296875,16.844329833984375,0.2361907958984375,58.78093719482422,0.17668914794921875,0,84517.97961425781,258421.24810791016,0,34088599552,2147483648,7892131840,0
