Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787754751458,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,0,0,0,0,0,0,0,89.44158935546875,0,0,0,0,15.476371765136719,0,0,0,0,0,0,0,127614.45556640625,94280.5952758789,0,34088599552,2147483648,7787429888,0
200,1787754751459,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,127614.45556640625,94280.5952758789,0,34088599552,2147483648,7787778048,0
200,1787754751659,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.9249191284179688,1.0117340087890625,41.53824234008789,3.3886566162109375,4.751960754394531,0.9197540283203125,0.9286880493164063,8.649581909179688,6.507682800292969,3.5043563842773438,0.977783203125,0.93072509765625,1.0479660034179688,59.61023712158203,38.83967590332031,0.8309097290039063,32.890052795410156,3.3504867553710938,30.568618774414063,0.8339385986328125,0,127625.80963134766,94289.54998779297,0,34088599552,2147483648,7837044736,0
199,1787754751859,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,2.6947479248046875,0.2983551025390625,68.57760620117188,0.17980194091796875,0.541107177734375,0.28113555908203125,0.2080535888671875,3.63763427734375,0.6950531005859375,0.47057342529296875,0.43303680419921875,0.47760772705078125,0.4686279296875,61.81558609008789,52.439292907714844,0.19228363037109375,57.00429153442383,0.18184661865234375,47.57987594604492,0.18529510498046875,0,127638.77325439453,94300.20904541016,0,34088599552,2147483648,7885590528,0
200,1787754752059,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,35.808448791503906,0.25817108154296875,70.98164367675781,0.21498870849609375,0.50665283203125,0.27916717529296875,0.20508575439453125,10.008285522460938,6.159523010253906,0.46511077880859375,2.9207382202148438,0.448516845703125,2.9785690307617188,50.27191925048828,47.0495719909668,0.21673583984375,48.126705169677734,0.1942901611328125,50.00104904174805,0.2475738525390625,0,127652.17297363281,94311.29711914063,0,34088599552,2147483648,7917342720,0
200,1787754752260,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,41.49833679199219,0.24076080322265625,59.91566467285156,0.22723388671875,13.678581237792969,2.808990478515625,0.24983978271484375,26.327651977539063,25.42760467529297,0.3175201416015625,0.2352142333984375,2.7999114990234375,0.30389404296875,54.2186279296875,49.22439956665039,2.7497024536132813,46.91524124145508,0.23162841796875,47.47566223144531,2.7941665649414063,0,127664.2763671875,94321.11437988281,0,34088599552,2147483648,7957938176,0
200,1787754752460,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,68.33281707763672,2.81976318359375,70.73247528076172,0.2644805908203125,40.923763275146484,0.36297607421875,2.785980224609375,48.498939514160156,49.59903335571289,12.807373046875,11.275955200195313,2.984405517578125,0.26158905029296875,66.30770111083984,65.056884765625,0.2546539306640625,66.75663757324219,0.266082763671875,66.99797058105469,0.2736663818359375,0,127679.81927490234,94334.20111083984,0,34088599552,2147483648,8063406080,0
200,1787754752661,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,14.245216369628906,0.20012664794921875,30.004470825195313,2.7432403564453125,20.511756896972656,0.18875885009765625,0.22765350341796875,20.05255126953125,36.89358901977539,3.2959976196289063,0.28466033935546875,0.26071929931640625,0.19509124755859375,51.528385162353516,16.971343994140625,0.21109771728515625,53.08058166503906,2.711273193359375,25.58844757080078,0.177337646484375,0,127690.82788085938,94342.95532226563,0,34088599552,2147483648,8053641216,0
200,1787754752861,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.8068695068359375,0.390716552734375,1.43695068359375,0.33596038818359375,8.063079833984375,0.22191619873046875,0.20316314697265625,53.44077682495117,45.195579528808594,0.24031829833984375,0.26165771484375,0.250885009765625,0.27272796630859375,22.964920043945313,30.363204956054688,0.37909698486328125,19.58081817626953,0.3084869384765625,24.176963806152344,0.26679229736328125,0,127701.33251953125,94351.25769042969,0,34088599552,2147483648,8056389632,0
199,1787754753062,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1.9347381591796875,0.2978973388671875,7.8732757568359375,0.345672607421875,19.044235229492188,0.23340606689453125,0.20423126220703125,39.82501220703125,47.77095413208008,0.5892562866210938,2.986572265625,0.24672698974609375,2.791015625,28.84442138671875,32.83006286621094,0.3336029052734375,49.98698425292969,0.23320770263671875,4.4602813720703125,0.33724212646484375,0,127710.89666748047,94358.62951660156,0,34088599552,2147483648,8057167872,0
